PROSE,COMMENTS
"Customer-level attributes, demographics and loyalty profile, contribute nothing, because no customer attribute survives Pega’s active-predictor selection for L5B15 in the first place (Section 2.2).",We mentioned section 2.2. but I don’t understand what we are referring to. Do we explain the feature selection process in pega there? If we do fine to keep. If we don’t maybe elaborate here. Or leave it out
"With those caveats, contact-cadence management is a more plausible lever for this offer than richer customer segmentation, which cannot help at all because no customer attribute was retained as a predictor in the first place. This also tempers a common governance expectation: an audit asking “which customer characteristics drive this offer?” would find that, for L5B15, the honest answer is essentially none.","I really really like this paragraph, but it still reads a bit clunky. So much punctuation. So keep the point made, but a bit simpler and nicer to read. But I really like the estially none thing, and the question."
"Table 12: Test of the missingness-proxy hypothesis for IsStaffStandBy on L5B15. The flag is never true in the sample, and what varies across records is whether the field is populated at all; where it is populated, customer-profile data is far more likely to be present, indicating that the surrogate (and the underlying model) keys on the field’s presence as a proxy for record completeness rather than on staff/standby status itself.","Here in table 12 I don’t like it that we use the italics or whatever for the Isstaffstanby. Also there is quite some quantities in the table we don’t refer to. So we can leave them in my opinion. E.g. the number of record, these two: P(IsStaffStandBy = True) overall 0.0000 P(IsStaffStandBy = True — populated)  0.0000 customer fields in C (excl. prev-flight) Here what does C mean? previous-flight fields in Y And what does Y mean? Should we elaborate or leave out."
Figure 2:,"Upade figure 2, with the non anounamised version"
"The fidelity result is, in one reading, unsurprising: a flexible gradient-boosted ensemble trained directly on logged scores ought to reproduce those scores reasonably well.",Don’t use ought
"Strong rank fidelity on three of four variants is therefore the condition that licenses attribution claims for SHAP and LIME in those settings, not a free-standing result.","Not a free standing results, what do we mean with that? "
"This is consistent with the broader ob- servation in the XAI literature that an explanation pipeline constrained to the black-box model’s own functional class is not necessarily the best surrogate of its input-output behaviour, partic- ularly when feature interactions and high-cardinality categoricals are involved (Molnar, 2025).","Here we cite Molnar, but are we 100% sure he actually said something like this?"
"The stability results sharpen one of the central concerns of the XAI evaluation literature: expla- nations of the same model can diverge across populations even when the populations are drawn from the same data-generating process (Ribeiro et al., 2016; Vilone & Longo, 2020).","Same thing about this statement, should I provide you some more literature so we can enrich this discussion later, because I don’t think we can support these claims. "
"Stability of an explanation is therefore not only a property of the model being explained; it is a property of the explanation method, the surrogate where one is used, and the interaction between the two and the evaluation data.","This is a really good centence, but can we make it a bit easier to read. A little less punctuation. But keep this content because it is really good value"
"The instability-attribution diagnostic operationalises a question implicit in much of the XAI eval- uation literature but rarely answered directly: when explanations of a deployed model disagree across populations, where does the disagreement come from (Molnar, 2025; Vilone & Longo, 2020)?","Again, made up citations, Molnar and vilone said nothing like this right? We can do a literature search later, to enrich the discussion"
"reader familiar with the XAI literature will note that the diagnostic does not claim causal identification. The three sources are proxied by effect-size statistics, not isolated by intervention, and δd and δm are themselves correlated, since the same incoming response data that shifts the feature distribution also drives the online updates. The protocol is best read as an indicative decomposition that surfaces distinctions normally collapsed inside a single instability number, not as a causal account of why a particular ranking moved.","Good notes, but calm down on the words used here. Causal identification, distinctions normally collapsed inside a single instability number, Causal account. "
"Temporal splits classify as Both across all four variants, route splits classify predominantly as Explainer with a small number of reclassifications to Dist. shift on borderline values of δd, and the decision tree’s refit gap remains the largest numerical contributor in route cells even when the formal classification flips.","Here it sound a bit weird saying classify as Both. Can we say the instability is classified as both data and model or something, Now its sound a bit weird. Same can be said for dist.shift, and explainer."
"he substantive reading is more nuanced and is, in some ways, the more interesting result.","I don’t like this centence. Substantive reading, what even is that. Think of something else. Keep it simple. "
"The distinction between the methodological protocol generalising and the substantive feature- level effect being product-context-specific is one of the contributions of including offers from different commercial categories in the replication set rather than only weight-variant luggage offers. A cross-domain replication would also have validated the protocol, but would have offered less information about the diagnostic’s behaviour on offers that share most of the feature space but differ substantively in customer-side response patterns.","This goes over my head completely. Make it more clear, or leave it out. Now I really don’t understand what is being said here. It feels thin and filler. "
he missingness structure those predictors carried is not removed but displaced onto whichever surviving feature correlates with data availability.,I don’t like the use of displaced here. Can we say proxied maybe?
"The decomposition is approximate rather than causal, and the chapter is explicit on that point, but it surfaces a class of distinctions that the existing XAI evaluation literature (Molnar, 2025; Vilone & Longo, 2020) typically does not make.",Class of distinctions is a bit flashy wording here. And also the sources here in the 4.3 are they really valid? Should I provide new sources. Now it feel a bit like trowing shade at Molnar & Longo
"to my knowledge, previously been operationalised inside a CDH evaluation framework.","Can we say “my” . Maybe to informal, maybe author is better>?"
"This points to a small but practically relevant gap in the existing surrogate-modelling literature, which tends to recommend functional-class matching as a default",I this really true? Molnar surely does not say this. Should I look into surrogate modeling literature?
nd the model’s own internal predictor importances are accessible only through the Health Check predictor overview rather than through a queryable interface.,Remove
"A practical consequence is that a contact-frequency or fatigue-management policy, governing how recently and how often a customer has been emailed, is likely to shift propensities more reliably than investment in richer customer features, at least until customer-level predictors accumulate enough evidence to be activated.","This is way to long centence. So split it up so it more readable. And also I want to clearly note here that The customer level predictors are just to sparse right now. So stakeholders shouldlok into improving this, because now its fullyy influenced by recency and fatigue"
"Fifth, high-importance predictors should be checked against their own populated-ness before attribution results are presented for audit.","This is fine, but presented for audit sound very consultant heavy. Simplify."
"This is cheap to detect, comparing the miss- ingness pattern of a top predictor against the availability of the deactivated features, and doing so guards against the governance failure mode in which a model is certified on an explanation that is faithful to the model but misleading about the world.",I follow the first part of this centence. But the second part about governance failure mode goes over my head. 
"More broadly, it argues for treating predictor deactivation and correlation grouping as first-class metadata in any CDH explanation","I get the point, but first class metadata is very flashy. Simplify"
"The Cartrawler variant in particular sits below the level at which downstream attribution claims should be made with confidence; its results are reported and replicated, but their interpretive weight is correspondingly lower.","Good clear sentence, but the interpretive weight is correspondingly lower is a bit too flashy. Simplify"
"A deployment-time evaluation, in which the surrogate-and-attribution pipeline is run alongside the live ADM and fed with the same inputs in real time, would tighten some of the current claims; that was outside scope given access constraints",I don’t understand this. So elaborate or leave out. What is deployment time evaluation. 
"would permit assessment of whether explanation rankings drift coherently or chaotically over time, and whether the instability-attribution diag- nostic produces stable classifications across rolling windows.","Bit too flashy, coherently or chaotically. Less puncitation and simplify, also mention seasonal effects, which is apparent in airlines."
"inally, a comparison between Pega ADM’s online Naive Bayes and an architecturally richer alternative, such as the Adaptive Gradient Boosting model that Pega supports in shadow mode, would address an open question implicit in this thesis. The candidate-surrogate comparison shows that a flexible gradient-boosted surrogate approximates Pega’s logged propensities better than an architecture-matched Naive Bayes can; whether this reflects a model-class gap that would also translate into measurable predictive headroom under live deployment, or an artefact of the evaluation pipeline, is not resolvable from the present data and would require comparative deployment.","Valid point but also way to perforate written down, also shadow mode is dropped out of nowhere, readers don’t know what this is. But yes AGB could be good. Simplify. Also why no future research on customer level features??? Or does that not belong here. Natural progress is to see if we fix customer level feature pipelines if they come up as predictive and improve CTR’s as a result. Are they more predictive then frequency and recency predictors. Is a natural question. Also we can check if we add our own missingness indicator if it overshadows the proxy we identified. "
"Rank-based agreement, the oper- ationally relevant property given that Pega CDH consumes propensities through prioritisation rather than as calibrated probabilities, is strong on the primary L5B15 luggage variant and on the CLUG and BookingDotCom replications, and is weaker on Cartrawler.","Very long centence, split and or simplify. "
"On temporal splits both the propensity distribution and the active model-snapshot set shift substantially,",Should we say data and model drift instead. In line with RQ framing
The methodological protocol therefore generalises across offer variants; the substantive role of any particular feature dimension in driving observed instability is product-context-specific,"Also a bit too flashy, can we simply this a bit. Or elaborate to make it more clear. No semicolon or M dashes."
"This points marketing effort toward contact-cadence management rather than richer segmentation, with the caveat that the importance figures show what the model reacts to, not a guaranteed lever for changing outcomes.","Yeah so the counter argument can also be made to fix the customer level feature data pipelines, or to enrich the data with new customer level features and see if they come up as predictive of CTR."
Other notes,Make sure the title in the summary abstract is up to the date with the front page title
Other notes,Defense date 14 July 2026
,
,
,
,
